                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     98,                 0.9185,                 0.4648,                 1.1689,                0.98112,                0.94323,                0.97125,                 0.6658,                  1.172,                0.46897,                   1.52,              0.0013598,              0.0013598,              0.0013598
                     99,                0.92607,                0.46068,                 1.1725,                0.98346,                0.95633,                0.98815,                0.65574,                 1.2103,                0.46495,                 1.5374,              0.0013532,              0.0013532,              0.0013532
                    100,                0.90493,                0.45594,                 1.1688,                0.98368,                0.95197,                0.97656,                0.65562,                 1.2537,                0.48642,                 1.5855,              0.0013466,              0.0013466,              0.0013466
                    101,                0.92806,                0.46947,                 1.1809,                0.98634,                0.94591,                0.97728,                0.65631,                 1.2655,                0.52066,                 1.6121,                0.00134,                0.00134,                0.00134
                    102,                0.94483,                0.47913,                 1.1854,                0.97437,                 0.9607,                0.98625,                0.65328,                 1.2518,                0.48782,                 1.5811,              0.0013334,              0.0013334,              0.0013334
                    103,                0.92935,                0.47141,                 1.1809,                0.97323,                0.95254,                0.96665,                0.64129,                 1.2129,                 0.4809,                  1.563,              0.0013268,              0.0013268,              0.0013268
                    104,                0.92784,                0.45893,                 1.1838,                0.96051,                0.95588,                0.97514,                0.66352,                 1.2054,                0.48787,                 1.5506,              0.0013202,              0.0013202,              0.0013202
                    105,                0.91998,                0.48181,                 1.1772,                0.97782,                0.96261,                0.98339,                0.66425,                 1.2307,                0.46084,                 1.5957,              0.0013136,              0.0013136,              0.0013136
                    106,                0.92989,                0.45849,                 1.1764,                 0.9857,                0.95197,                0.97062,                 0.6306,                 1.2612,                0.48613,                 1.5944,               0.001307,               0.001307,               0.001307
                    107,                0.90854,                0.46038,                 1.1728,                 0.9801,                 0.9607,                0.97728,                0.65628,                  1.238,                0.47129,                 1.6035,              0.0013004,              0.0013004,              0.0013004
                    108,                0.92212,                0.47357,                 1.1713,                0.97646,                0.95197,                0.96828,                0.65009,                 1.2628,                0.51649,                 1.6074,              0.0012938,              0.0012938,              0.0012938
                    109,                0.89619,                0.45617,                 1.1679,                0.98525,                 0.9476,                0.97298,                0.65597,                 1.2428,                0.50566,                 1.6031,              0.0012872,              0.0012872,              0.0012872
                    110,                0.91274,                0.45675,                 1.1879,                0.97596,                 0.9476,                0.97661,                0.66553,                 1.1944,                0.46937,                 1.5373,              0.0012806,              0.0012806,              0.0012806
                    111,                0.91241,                0.45462,                 1.1667,                0.97726,                0.93814,                0.96952,                0.65086,                 1.2166,                0.48779,                 1.5497,               0.001274,               0.001274,               0.001274
                    112,                0.90406,                0.45429,                 1.1604,                0.96954,                0.97292,                0.97761,                0.65179,                  1.263,                0.46683,                 1.5926,              0.0012674,              0.0012674,              0.0012674
                    113,                0.89833,                 0.4593,                 1.1714,                0.96488,                0.95979,                0.97919,                0.66416,                 1.1985,                0.45405,                 1.5517,              0.0012608,              0.0012608,              0.0012608
                    114,                0.89679,                0.45856,                 1.1593,                0.97785,                0.96397,                0.97791,                0.66535,                 1.2012,                0.49552,                 1.5444,              0.0012542,              0.0012542,              0.0012542
                    115,                0.87433,                 0.4562,                 1.1551,                0.98914,                 0.9607,                0.98708,                 0.6638,                  1.211,                0.50642,                 1.5923,              0.0012476,              0.0012476,              0.0012476
